Mutacao,MediaRes,NumMedGer,BestRes,ErroMed,ErroMenor,TempoMed,TempoMenor
10,5772,92,5620,14.39,11.38,0.212968,0.390625
20,6428,86,6092,15.99,9.92,0.251562,0.40625
15,6099,132,5722,15.08,7.96,0.28125,0.265625
10,5861,94,5704,10.73,7.76,0.233906,0.265625
20,6646,111,6111,17.03,7.61,0.245937,0.390625
5,6228,106,5877,11.02,4.76,0.197656,0.296875
15,5939,93,5778,17.3,14.12,0.23218699999999998,0.203125
5,5806,105,5519,13.78,8.15,0.229062,0.3125
25,5868,126,5650,13.88,9.64,0.299375,0.453125
10,5879,105,5596,16.3,10.7,0.25890599999999997,0.40625
