Mutacao,MediaRes,NumMedGer,BestRes,ErroMed,ErroMenor,TempoMed,TempoMenor
  0, 5925,  10, 5771,17.21,14.16,0.147031,0.250000
  5, 5894,  74, 5686,16.60,12.48,0.225781,0.453125
 10, 5879, 105, 5596,16.30,10.70,0.258906,0.406250
 15, 5905, 100, 5738,16.82,13.51,0.267031,0.312500
 20, 5910,  81, 5641,16.91,11.59,0.265625,0.437500
 25, 5899,  92, 5695,16.70,12.66,0.295312,0.296875
 30, 5901,  86, 5634,16.74,11.45,0.299531,0.468750
 35, 5912,  82, 5773,16.95,14.20,0.313750,0.625000
 40, 5926,  80, 5746,17.23,13.67,0.332656,0.718750
 45, 5921,  84, 5733,17.13,13.41,0.344375,0.734375
 50, 5928,  80, 5743,17.27,13.61,0.352968,0.828125
