Mutacao,MediaRes,NumMedGer,BestRes,ErroMed,ErroMenor,TempoMed,TempoMenor
  0, 9798,   3, 9583,27.00,24.21,0.005156,0.015625
  5, 7913, 129, 7725, 2.57, 0.13,0.014218,0.015625
 10, 7904,  87, 7715, 2.45, 0.00,0.013593,0.015625
 15, 7854,  87, 7715, 1.80, 0.00,0.023906,0.031250
 20, 7854,  68, 7725, 1.80, 0.13,0.024375,0.015625
 25, 7826,  73, 7715, 1.44, 0.00,0.024687,0.015625
 30, 7827,  72, 7715, 1.45, 0.00,0.025937,0.015625
 35, 7833,  79, 7715, 1.53, 0.00,0.025781,0.046875
 40, 7820,  72, 7715, 1.36, 0.00,0.029531,0.046875
 45, 7827,  78, 7715, 1.45, 0.00,0.033281,0.031250
 50, 7829,  71, 7725, 1.48, 0.13,0.032343,0.031250
