Mutacao,MediaRes,NumMedGer,BestRes,ErroMed,ErroMenor,TempoMed,TempoMenor
  0, 1719,  10, 1649, 6.77, 2.42,0.039375,0.031250
  5, 1670, 110, 1620, 3.73, 0.62,0.082031,0.093750
 10, 1667, 107, 1618, 3.54, 0.50,0.093906,0.125000
 15, 1665, 111, 1615, 3.42, 0.31,0.095781,0.109375
 20, 1680, 108, 1620, 4.35, 0.62,0.102187,0.125000
 25, 1672, 110, 1618, 3.85, 0.50,0.116250,0.156250
 30, 1687,  95, 1618, 4.78, 0.50,0.105937,0.187500
 35, 1675, 103, 1618, 4.04, 0.50,0.134843,0.203125
 40, 1692,  89, 1618, 5.09, 0.50,0.132187,0.281250
 45, 1703, 104, 1618, 5.78, 0.50,0.140937,0.125000
 50, 1694, 111, 1618, 5.22, 0.50,0.143906,0.187500
