Mutacao,MediaRes,NumMedGer,BestRes,ErroMed,ErroMenor,TempoMed,TempoMenor
15,2112,109,2038,4.19,0.54,0.049843,0.078125
5,1746,113,1694,5.5,2.36,0.046718,0.078125
15,1944,126,1873,6.4,2.52,0.056562,0.109375
10,1997,98,1903,11.01,5.78,0.051875,0.0625
25,1893,84,1838,10.77,7.55,0.065,0.0625
5,2020,47,1937,9.72,5.21,0.031562,0.03125
10,2046,94,1978,13.35,9.58,0.04375,0.046875
5,1838,110,1756,6.98,2.21,0.050156,0.078125
15,1895,117,1716,12.6,1.96,0.054842999999999996,0.078125
20,1899,152,1862,1.99,0.0,0.061562,0.0625
