Mutacao,MediaRes,NumMedGer,BestRes,ErroMed,ErroMenor,TempoMed,TempoMenor
  0, 1980,   5, 1876,17.65,11.47,0.026250,0.015625
  5, 1914, 120, 1723,13.73, 2.38,0.047656,0.078125
 10, 1898, 123, 1767,12.77, 4.99,0.051562,0.078125
 15, 1895, 117, 1716,12.60, 1.96,0.054843,0.078125
 20, 1909, 102, 1767,13.43, 4.99,0.057343,0.093750
 25, 1906, 104, 1719,13.25, 2.14,0.061875,0.093750
 30, 1906,  91, 1708,13.25, 1.49,0.063125,0.093750
 35, 1902, 102, 1766,13.01, 4.93,0.071875,0.109375
 40, 1910,  99, 1775,13.49, 5.47,0.079218,0.078125
 45, 1910, 108, 1708,13.49, 1.49,0.092187,0.125000
 50, 1904, 108, 1771,13.13, 5.23,0.088906,0.125000
