Mutacao,MediaRes,NumMedGer,BestRes,ErroMed,ErroMenor,TempoMed,TempoMenor
  0, 1054,   5, 1004,12.49, 7.15,0.022343,0.031250
  5, 1039,  45,  989,10.89, 5.55,0.030156,0.046875
 10, 1034,  63,  937,10.35, 0.00,0.035781,0.031250
 15, 1035,  55,  989,10.46, 5.55,0.035468,0.046875
 20, 1039,  57,  959,10.89, 2.35,0.040312,0.078125
 25, 1041,  48,  937,11.10, 0.00,0.039843,0.062500
 30, 1041,  59,  989,11.10, 5.55,0.044531,0.046875
 35, 1042,  55,  989,11.21, 5.55,0.046406,0.046875
 40, 1044,  58,  989,11.42, 5.55,0.050312,0.046875
 45, 1043,  52,  989,11.31, 5.55,0.049687,0.046875
 50, 1051,  52,  989,12.17, 5.55,0.052187,0.046875
