Mutacao,MediaRes,NumMedGer,BestRes,ErroMed,ErroMenor,TempoMed,TempoMenor
  0, 8880,   6, 7301,21.63, 0.00,0.006718,0.015625
  5, 8021, 102, 7301, 9.86, 0.00,0.015000,0.015625
 10, 7847,  98, 7301, 7.48, 0.00,0.020625,0.031250
 15, 7757,  90, 7301, 6.25, 0.00,0.025625,0.031250
 20, 7722, 101, 7301, 5.77, 0.00,0.032031,0.031250
 25, 7715,  82, 7301, 5.67, 0.00,0.030937,0.031250
 30, 7730,  84, 7301, 5.88, 0.00,0.035781,0.031250
 35, 7703,  84, 7301, 5.51, 0.00,0.035156,0.015625
 40, 7645,  83, 7301, 4.71, 0.00,0.044687,0.046875
 45, 7665,  86, 7301, 4.99, 0.00,0.042812,0.031250
 50, 7715,  79, 7301, 5.67, 0.00,0.043281,0.031250
