Mutacao,MediaRes,NumMedGer,BestRes,ErroMed,ErroMenor,TempoMed,TempoMenor
  0, 8515,  15, 8061,19.09,12.74,0.257031,0.218750
  5, 8326, 121, 7453,16.45, 4.24,0.390156,0.406250
 10, 8336, 132, 7419,16.59, 3.76,0.425156,0.703125
 15, 8311, 140, 7458,16.24, 4.31,0.475000,0.578125
 20, 8303, 137, 7313,16.13, 2.28,0.515000,0.812500
 25, 8310, 128, 7453,16.22, 4.24,0.536406,0.562500
 30, 8325, 134, 7453,16.43, 4.24,0.593281,0.671875
 35, 8325, 131, 7453,16.43, 4.24,0.639375,0.687500
 40, 8304, 132, 7453,16.14, 4.24,0.702656,0.640625
 45, 8287, 137, 7453,15.90, 4.24,0.774375,0.671875
 50, 8272, 127, 7428,15.69, 3.89,0.789062,1.343750
