Mutacao,MediaRes,NumMedGer,BestRes,ErroMed,ErroMenor,TempoMed,TempoMenor
  0, 5047,   0, 4962,11.68, 9.80,0.004218,0.000000
  5, 4871,  48, 4801, 7.79, 6.24,0.006562,0.000000
 10, 4789,  59, 4519, 5.97, 0.00,0.009062,0.000000
 15, 4741,  78, 4519, 4.91, 0.00,0.010625,0.000000
 20, 4720,  68, 4519, 4.45, 0.00,0.017343,0.015625
 25, 4673,  79, 4519, 3.41, 0.00,0.022343,0.015625
 30, 4671,  81, 4519, 3.36, 0.00,0.022968,0.031250
 35, 4669,  67, 4519, 3.32, 0.00,0.023906,0.031250
 40, 4665,  76, 4519, 3.23, 0.00,0.025000,0.031250
 45, 4643,  70, 4519, 2.74, 0.00,0.027343,0.046875
 50, 4640,  68, 4519, 2.68, 0.00,0.021875,0.031250
