Mutacao,MediaRes,NumMedGer,BestRes,ErroMed,ErroMenor,TempoMed,TempoMenor
  0, 2330,   2, 2268, 8.98, 6.08,0.006250,0.000000
  5, 2232,  41, 2138, 4.40, 0.00,0.008281,0.015625
 10, 2217,  43, 2138, 3.70, 0.00,0.010156,0.015625
 15, 2208,  42, 2138, 3.27, 0.00,0.013281,0.015625
 20, 2207,  35, 2138, 3.23, 0.00,0.016718,0.015625
 25, 2206,  30, 2138, 3.18, 0.00,0.015781,0.031250
 30, 2205,  43, 2138, 3.13, 0.00,0.019375,0.031250
 35, 2199,  41, 2138, 2.85, 0.00,0.019531,0.031250
 40, 2206,  41, 2138, 3.18, 0.00,0.019375,0.015625
 45, 2201,  39, 2138, 2.95, 0.00,0.016875,0.031250
 50, 2208,  45, 2138, 3.27, 0.00,0.017656,0.015625
