Mutacao,MediaRes,NumMedGer,BestRes,ErroMed,ErroMenor,TempoMed,TempoMenor
  0, 1261,   6, 1190,10.71, 4.48,0.025625,0.031250
  5, 1236,  73, 1139, 8.52, 0.00,0.040781,0.062500
 10, 1241,  66, 1166, 8.96, 2.37,0.041718,0.062500
 15, 1243,  66, 1166, 9.13, 2.37,0.044375,0.031250
 20, 1245,  67, 1139, 9.31, 0.00,0.048593,0.078125
 25, 1247,  57, 1154, 9.48, 1.32,0.049687,0.046875
 30, 1248,  60, 1151, 9.57, 1.05,0.044843,0.046875
 35, 1248,  59, 1151, 9.57, 1.05,0.045000,0.062500
 40, 1248,  59, 1154, 9.57, 1.32,0.042812,0.046875
 45, 1258,  49, 1153,10.45, 1.23,0.043281,0.046875
 50, 1257,  49, 1178,10.36, 3.42,0.047500,0.031250
