Mutacao,MediaRes,NumMedGer,BestRes,ErroMed,ErroMenor,TempoMed,TempoMenor
  0, 1095,   5, 1075, 4.48, 2.58,0.031406,0.031250
  5, 1078,  84, 1060, 2.86, 1.15,0.063906,0.078125
 10, 1075,  81, 1060, 2.58, 1.15,0.081406,0.093750
 15, 1075,  74, 1060, 2.58, 1.15,0.079687,0.109375
 20, 1077,  74, 1060, 2.77, 1.15,0.095781,0.078125
 25, 1076,  76, 1060, 2.67, 1.15,0.100000,0.156250
 30, 1074,  74, 1060, 2.48, 1.15,0.111875,0.140625
 35, 1075,  80, 1060, 2.58, 1.15,0.134218,0.125000
 40, 1072,  66, 1060, 2.29, 1.15,0.130625,0.156250
 45, 1075,  59, 1060, 2.58, 1.15,0.131406,0.109375
 50, 1074,  65, 1060, 2.48, 1.15,0.146562,0.125000
