Mutacao,MediaRes,NumMedGer,BestRes,ErroMed,ErroMenor,TempoMed,TempoMenor
  0, 3980,   1, 3643,12.94, 3.38,0.003750,0.000000
  5, 3798,  42, 3524, 7.78, 0.00,0.005781,0.015625
 10, 3721,  45, 3524, 5.59, 0.00,0.007968,0.000000
 15, 3668,  42, 3524, 4.09, 0.00,0.007500,0.000000
 20, 3684,  52, 3524, 4.54, 0.00,0.009687,0.015625
 25, 3668,  44, 3524, 4.09, 0.00,0.009218,0.031250
 30, 3655,  49, 3524, 3.72, 0.00,0.010312,0.000000
 35, 3678,  45, 3524, 4.37, 0.00,0.010312,0.000000
 40, 3651,  52, 3524, 3.60, 0.00,0.011093,0.015625
 45, 3701,  49, 3524, 5.02, 0.00,0.015312,0.015625
 50, 3659,  53, 3524, 3.83, 0.00,0.015000,0.015625
