Mutacao,MediaRes,NumMedGer,BestRes,ErroMed,ErroMenor,TempoMed,TempoMenor
  0, 7508,   7, 6939, 9.46, 1.17,0.005781,0.000000
  5, 7061,  72, 6870, 2.95, 0.16,0.010312,0.015625
 10, 7026,  62, 6890, 2.43, 0.45,0.011093,0.015625
 15, 7012,  70, 6870, 2.23, 0.16,0.020156,0.015625
 20, 7005,  74, 6870, 2.13, 0.16,0.023750,0.015625
 25, 7004,  72, 6859, 2.11, 0.00,0.020937,0.015625
 30, 7003,  88, 6859, 2.10, 0.00,0.018125,0.031250
 35, 7012,  76, 6859, 2.23, 0.00,0.017812,0.031250
 40, 7015,  81, 6870, 2.27, 0.16,0.018593,0.031250
 45, 7007,  82, 6859, 2.16, 0.00,0.026562,0.031250
 50, 6991,  87, 6870, 1.92, 0.16,0.022031,0.015625
