Mutacao,MediaRes,NumMedGer,BestRes,ErroMed,ErroMenor,TempoMed,TempoMenor
  0, 3771,   3, 3346,13.48, 0.69,0.003906,0.000000
  5, 3679,  47, 3346,10.71, 0.69,0.005625,0.000000
 10, 3588,  70, 3323, 7.97, 0.00,0.007343,0.015625
 15, 3558,  64, 3323, 7.07, 0.00,0.007812,0.015625
 20, 3549,  62, 3323, 6.80, 0.00,0.008437,0.015625
 25, 3526,  67, 3323, 6.11, 0.00,0.010312,0.000000
 30, 3509,  76, 3323, 5.60, 0.00,0.011875,0.000000
 35, 3505,  73, 3323, 5.48, 0.00,0.015937,0.015625
 40, 3501,  83, 3323, 5.36, 0.00,0.014375,0.015625
 45, 3476,  81, 3323, 4.60, 0.00,0.019062,0.015625
 50, 3482,  83, 3323, 4.78, 0.00,0.019218,0.031250
