Mutacao,MediaRes,NumMedGer,BestRes,ErroMed,ErroMenor,TempoMed,TempoMenor
  0, 1181,   4, 1098,13.01, 5.07,0.019062,0.015625
  5, 1154,  70, 1091,10.43, 4.40,0.029218,0.031250
 10, 1158,  64, 1091,10.81, 4.40,0.030937,0.046875
 15, 1155,  69, 1091,10.53, 4.40,0.033437,0.046875
 20, 1154,  64, 1091,10.43, 4.40,0.034375,0.046875
 25, 1159,  56, 1091,10.91, 4.40,0.036250,0.046875
 30, 1162,  61, 1091,11.20, 4.40,0.040000,0.078125
 35, 1164,  54, 1091,11.39, 4.40,0.040000,0.046875
 40, 1170,  42, 1091,11.96, 4.40,0.038750,0.062500
 45, 1162,  53, 1091,11.20, 4.40,0.043593,0.078125
 50, 1171,  51, 1091,12.06, 4.40,0.045937,0.078125
