Mutacao,MediaRes,NumMedGer,BestRes,ErroMed,ErroMenor,TempoMed,TempoMenor
  0, 8947,   9, 7775,25.61, 9.15,0.015000,0.015625
  5, 8173, 185, 7294,14.74, 2.40,0.032343,0.031250
 10, 8051, 179, 7379,13.03, 3.59,0.036562,0.015625
 15, 7935, 194, 7316,11.40, 2.71,0.042812,0.031250
 20, 8035, 180, 7294,12.80, 2.40,0.043750,0.046875
 25, 7896, 196, 7124,10.85, 0.01,0.049843,0.046875
 30, 7942, 178, 7242,11.50, 1.67,0.052187,0.078125
 35, 7962, 182, 7342,11.78, 3.07,0.055468,0.062500
 40, 7979, 193, 7432,12.02, 4.34,0.061562,0.078125
 45, 7922, 190, 7419,11.22, 4.16,0.066562,0.062500
 50, 7938, 187, 7123,11.44, 0.00,0.067656,0.109375
