Mutacao,MediaRes,NumMedGer,BestRes,ErroMed,ErroMenor,TempoMed,TempoMenor
45,8171,150,7211,15.36,1.81,0.065625,0.09375
30,8399,168,7415,13.27,0.0,0.048281,0.0625
15,8455,72,8199,3.4,0.27,0.024375,0.046875
35,8735,118,7464,18.28,1.07,0.046875,0.03125
30,8549,147,7671,14.77,2.98,0.042656,0.078125
45,8577,109,8118,13.02,6.97,0.043125,0.09375
30,8458,132,8168,9.43,5.68,0.040312,0.03125
25,7896,196,7124,10.85,0.01,0.049843,0.046875
45,7895,117,7270,10.02,1.31,0.045,0.046875
40,8120,129,7961,2.0,0.0,0.043906,0.03125
