Mutacao,MediaRes,NumMedGer,BestRes,ErroMed,ErroMenor,TempoMed,TempoMenor
  0, 7032,  22, 6884, 9.81, 7.50,1.963593,2.375000
  5, 7005,  46, 6867, 9.38, 7.23,2.377968,3.406250
 10, 6958,  49, 6594, 8.65, 2.97,2.436718,3.046875
 15, 6955,  59, 6594, 8.60, 2.97,2.606093,4.515625
 20, 6967,  65, 6592, 8.79, 2.94,2.713750,2.546875
 25, 6973,  71, 6594, 8.89, 2.97,2.811562,3.328125
 30, 6945,  70, 6554, 8.45, 2.34,2.771562,5.765625
 35, 6986,  86, 6594, 9.09, 2.97,3.033750,3.203125
 40, 6979,  91, 6539, 8.98, 2.11,3.107343,5.078125
