Mutacao,MediaRes,NumMedGer,BestRes,ErroMed,ErroMenor,TempoMed,TempoMenor
  0, 4144,   2, 4105, 6.47, 5.47,0.069218,0.078125
  5, 4145,   3, 4105, 6.50, 5.47,0.071093,0.062500
 10, 4143,   5, 3970, 6.45, 2.00,0.071718,0.125000
 15, 4113,  18, 3940, 5.68, 1.23,0.079687,0.093750
 20, 4076,  38, 3892, 4.73, 0.00,0.095468,0.281250
 25, 4056,  45, 3892, 4.21, 0.00,0.098437,0.187500
 30, 4043,  52, 3892, 3.88, 0.00,0.102968,0.156250
 35, 4042,  58, 3892, 3.85, 0.00,0.106718,0.156250
 40, 4002,  68, 3892, 2.83, 0.00,0.117500,0.156250
