Mutacao,MediaRes,NumMedGer,BestRes,ErroMed,ErroMenor,TempoMed,TempoMenor
  0, 3360,   7, 3323, 1.11, 0.00,0.025625,0.031250
  5, 3360,   8, 3323, 1.11, 0.00,0.025156,0.031250
 10, 3365,  10, 3323, 1.26, 0.00,0.024843,0.031250
 15, 3358,  16, 3323, 1.05, 0.00,0.025000,0.031250
 20, 3357,  18, 3323, 1.02, 0.00,0.027343,0.031250
 25, 3370,  23, 3323, 1.41, 0.00,0.030000,0.015625
 30, 3351,  26, 3323, 0.84, 0.00,0.027343,0.031250
 35, 3353,  28, 3323, 0.90, 0.00,0.027656,0.062500
 40, 3350,  33, 3323, 0.81, 0.00,0.028906,0.031250
