Mutacao,MediaRes,NumMedGer,BestRes,ErroMed,ErroMenor,TempoMed,TempoMenor
  0, 1875,   8, 1862, 0.70, 0.00,0.278593,0.343750
  5, 1880,  11, 1862, 0.97, 0.00,0.286250,0.265625
 10, 1881,  14, 1862, 1.02, 0.00,0.295156,0.406250
 15, 1879,  19, 1862, 0.91, 0.00,0.306875,0.281250
 20, 1877,  21, 1862, 0.81, 0.00,0.316406,0.562500
 25, 1875,  30, 1862, 0.70, 0.00,0.336718,0.265625
 30, 1872,  34, 1862, 0.54, 0.00,0.343437,0.328125
 35, 1869,  46, 1862, 0.38, 0.00,0.376406,0.500000
 40, 1877,  40, 1862, 0.81, 0.00,0.359218,0.453125
