Mutacao,MediaRes,NumMedGer,BestRes,ErroMed,ErroMenor,TempoMed,TempoMenor
  0, 7160,  18, 7105, 2.10, 1.31,0.124531,0.156250
  5, 7151,  25, 7083, 1.97, 1.00,0.122968,0.125000
 10, 7138,  33, 7013, 1.78, 0.00,0.131406,0.125000
 15, 7142,  33, 7013, 1.84, 0.00,0.131562,0.140625
 20, 7140,  39, 7013, 1.81, 0.00,0.137812,0.218750
 25, 7141,  38, 7013, 1.83, 0.00,0.142500,0.187500
 30, 7145,  47, 7047, 1.88, 0.48,0.145625,0.171875
 35, 7162,  52, 7013, 2.12, 0.00,0.150468,0.156250
 40, 7155,  60, 7013, 2.02, 0.00,0.159062,0.312500
