Mutacao,MediaRes,NumMedGer,BestRes,ErroMed,ErroMenor,TempoMed,TempoMenor
  0, 4364,   4, 4359, 5.61, 5.49,0.072343,0.078125
  5, 4360,  29, 4358, 5.52, 5.47,0.088750,0.093750
 10, 4354,  27, 4150, 5.37, 0.44,0.092812,0.109375
 15, 4327,  32, 4132, 4.72, 0.00,0.091875,0.109375
 20, 4291,  53, 4132, 3.85, 0.00,0.106562,0.171875
 25, 4231,  86, 4132, 2.40, 0.00,0.132343,0.250000
 30, 4215,  85, 4132, 2.01, 0.00,0.132187,0.109375
 35, 4203,  82, 4132, 1.72, 0.00,0.130468,0.156250
 40, 4198,  94, 4132, 1.60, 0.00,0.139843,0.140625
