Mutacao,MediaRes,NumMedGer,BestRes,ErroMed,ErroMenor,TempoMed,TempoMenor
  0, 6787,  14, 6669, 7.20, 5.34,2.003750,1.828125
  5, 6776,  36, 6633, 7.03, 4.77,2.388593,4.000000
 10, 6770,  42, 6632, 6.93, 4.75,4.320625,3.687500
 15, 6769,  50, 6586, 6.92, 4.03,5.526406,9.578125
 20, 6746,  62, 6567, 6.56, 3.73,6.001718,6.656250
 25, 6745,  61, 6530, 6.54, 3.14,5.978750,7.515625
 30, 6759,  62, 6531, 6.76, 3.16,5.962187,9.484375
 35, 6732,  67, 6530, 6.33, 3.14,6.210625,7.156250
 40, 6766,  56, 6551, 6.87, 3.47,5.861718,9.796875
