Mutacao,MediaRes,NumMedGer,BestRes,ErroMed,ErroMenor,TempoMed,TempoMenor
  0, 6950,   4, 6875, 1.33, 0.23,0.039843,0.046875
  5, 6932,  17, 6870, 1.06, 0.16,0.042656,0.046875
 10, 6909,  32, 6870, 0.73, 0.16,0.048437,0.062500
 15, 6912,  25, 6870, 0.77, 0.16,0.048750,0.046875
 20, 6894,  38, 6859, 0.51, 0.00,0.051562,0.109375
 25, 6897,  34, 6859, 0.55, 0.00,0.048125,0.093750
 30, 6891,  50, 6859, 0.47, 0.00,0.056562,0.078125
 35, 6889,  49, 6859, 0.44, 0.00,0.058437,0.062500
 40, 6887,  56, 6859, 0.41, 0.00,0.057812,0.062500
