Mutacao,MediaRes,NumMedGer,BestRes,ErroMed,ErroMenor,TempoMed,TempoMenor
  0, 3591,   4, 3408, 5.37, 0.00,0.023750,0.015625
  5, 3567,  24, 3408, 4.67, 0.00,0.027812,0.015625
 10, 3561,  18, 3408, 4.49, 0.00,0.025312,0.031250
 15, 3539,  16, 3408, 3.84, 0.00,0.025781,0.031250
 20, 3520,  19, 3408, 3.29, 0.00,0.026875,0.031250
 25, 3514,  19, 3408, 3.11, 0.00,0.026875,0.031250
 30, 3523,  22, 3408, 3.37, 0.00,0.028125,0.015625
 35, 3516,  22, 3408, 3.17, 0.00,0.027968,0.031250
 40, 3506,  27, 3408, 2.88, 0.00,0.028750,0.015625
