Mutacao,MediaRes,NumMedGer,BestRes,ErroMed,ErroMenor,TempoMed,TempoMenor
  0, 1754,  56, 1667, 5.98, 0.73,0.483125,1.078125
  5, 1713, 138, 1655, 3.50, 0.00,0.695625,0.781250
 10, 1707, 132, 1655, 3.14, 0.00,0.679218,0.890625
 15, 1710, 152, 1655, 3.32, 0.00,0.736093,0.906250
 20, 1725, 137, 1655, 4.23, 0.00,0.702031,0.953125
 25, 1751, 109, 1655, 5.80, 0.00,0.641718,0.828125
 30, 1766, 101, 1667, 6.71, 0.73,0.619687,1.187500
 35, 1797,  69, 1667, 8.58, 0.73,0.526562,1.265625
 40, 1831,  24, 1712,10.63, 3.44,0.405000,0.359375
