Mutacao,MediaRes,NumMedGer,BestRes,ErroMed,ErroMenor,TempoMed,TempoMenor
  0, 6869, 129, 6637, 5.11, 1.56,3.821406,5.531250
  5, 6786, 163, 6626, 3.84, 1.39,4.325468,5.328125
 10, 6818, 162, 6626, 4.33, 1.39,4.303437,4.296875
 15, 6923,  84, 6646, 5.94, 1.70,3.265468,5.500000
 20, 6982,  73, 6744, 6.84, 3.20,3.145156,4.765625
 25, 6989,  41, 6789, 6.95, 3.89,2.682968,2.406250
 30, 7017,  38, 6828, 7.38, 4.48,2.702031,3.796875
 35, 7050,  24, 6826, 7.88, 4.45,2.505156,3.421875
 40, 7084,  20, 6944, 8.40, 6.26,2.517656,2.656250
