Mutacao,MediaRes,NumMedGer,BestRes,ErroMed,ErroMenor,TempoMed,TempoMenor
15,8403,89,8290,1.36,0.0,0.22375,0.359375
25,7727,106,7538,2.51,0.0,0.269531,0.203125
15,8940,103,8833,1.21,0.0,0.189375,0.265625
15,9349,18,9324,0.27,0.0,0.12484300000000001,0.109375
15,8469,64,8284,2.23,0.0,0.141406,0.125
10,7695,127,7570,1.65,0.0,0.265937,0.28125
20,7927,91,7897,0.38,0.0,0.184531,0.21875
40,9607,106,9558,0.51,0.0,0.177343,0.171875
15,9078,70,9021,0.63,0.0,0.186875,0.203125
15,7995,62,7955,0.68,0.18,0.147812,0.21875
