Mutacao,MediaRes,NumMedGer,BestRes,ErroMed,ErroMenor,TempoMed,TempoMenor
20,6019,52,5661,8.96,2.48,3.4601559999999996,9.171875
10,6226,246,5911,5.61,0.27,7.056093,8.0625
10,6055,183,5754,5.23,0.0,5.523906,5.90625
5,6104,142,5815,9.23,4.06,10.516875,11.75
5,6600,100,6270,7.16,1.8,4.4628120000000004,10.203125
10,6109,61,5852,6.06,1.6,4.227031,11.953125
5,6186,72,5964,3.88,0.15,3.386875,6.0
5,6046,96,5861,8.7,5.38,4.180937,4.6875
5,6400,145,6085,10.5,5.06,5.355468,18.03125
5,6481,177,6087,7.77,1.21,5.667656,9.609375
