Mutacao,MediaRes,NumMedGer,BestRes,ErroMed,ErroMenor,TempoMed,TempoMenor
  0, 3359,  21, 3346, 0.39, 0.00,0.022343,0.031250
  5, 3352,  23, 3346, 0.18, 0.00,0.022343,0.015625
 10, 3351,  31, 3346, 0.15, 0.00,0.023750,0.031250
 15, 3355,  35, 3346, 0.27, 0.00,0.024531,0.046875
 20, 3352,  33, 3346, 0.18, 0.00,0.026406,0.015625
 25, 3356,  41, 3346, 0.30, 0.00,0.026093,0.031250
 30, 3361,  47, 3346, 0.45, 0.00,0.027656,0.031250
 35, 3360,  53, 3346, 0.42, 0.00,0.027968,0.046875
 40, 3364,  58, 3346, 0.54, 0.00,0.030468,0.015625
