Mutacao,MediaRes,NumMedGer,BestRes,ErroMed,ErroMenor,TempoMed,TempoMenor
  0, 1960,   0, 1854,20.39,13.88,0.058281,0.078125
  5, 1958,   0, 1854,20.27,13.88,0.057500,0.062500
 10, 1977,   0, 1854,21.44,13.88,0.057968,0.046875
 15, 1952,   0, 1854,19.90,13.88,0.057968,0.062500
 20, 1956,   0, 1854,20.15,13.88,0.058593,0.046875
 25, 1955,   0, 1854,20.09,13.88,0.058750,0.062500
 30, 1956,   0, 1854,20.15,13.88,0.070000,0.062500
 35, 1957,   0, 1854,20.21,13.88,0.066250,0.078125
 40, 1970,   0, 1854,21.01,13.88,0.063593,0.062500
 45, 1956,   0, 1854,20.15,13.88,0.060312,0.046875
 50, 1961,   0, 1854,20.45,13.88,0.059531,0.062500
