Mutacao,MediaRes,NumMedGer,BestRes,ErroMed,ErroMenor,TempoMed,TempoMenor
  0, 4300,   0, 4190,12.15, 9.29,0.009375,0.000000
  5, 4295,   3, 4065,12.02, 6.03,0.011250,0.015625
 10, 4313,   3, 4058,12.49, 5.84,0.012656,0.015625
 15, 4310,   0, 4065,12.42, 6.03,0.016250,0.000000
 20, 4294,   1, 4043,12.00, 5.45,0.016718,0.015625
 25, 4275,   1, 4058,11.50, 5.84,0.017656,0.015625
 30, 4298,   5, 4114,12.10, 7.30,0.016562,0.015625
 35, 4297,   0, 4058,12.08, 5.84,0.017187,0.000000
 40, 4299,   0, 4058,12.13, 5.84,0.017343,0.031250
 45, 4306,   1, 4135,12.31, 7.85,0.017656,0.031250
 50, 4295,   0, 4065,12.02, 6.03,0.017031,0.015625
