Mutacao,MediaRes,NumMedGer,BestRes,ErroMed,ErroMenor,TempoMed,TempoMenor
  0, 1113,   0, 1092,16.79,14.59,0.043437,0.046875
  5, 1112,   0, 1092,16.68,14.59,0.045156,0.046875
 10, 1111,   0, 1092,16.58,14.59,0.046562,0.031250
 15, 1110,   0, 1083,16.47,13.64,0.045937,0.046875
 20, 1111,   0, 1092,16.58,14.59,0.047500,0.046875
 25, 1113,   0, 1092,16.79,14.59,0.049531,0.046875
 30, 1111,   0, 1078,16.58,13.12,0.048125,0.046875
 35, 1110,   0, 1092,16.47,14.59,0.049687,0.046875
 40, 1111,   0, 1092,16.58,14.59,0.049218,0.046875
 45, 1110,   0, 1092,16.47,14.59,0.051562,0.046875
 50, 1109,   0, 1092,16.37,14.59,0.052187,0.062500
