Mutacao,MediaRes,NumMedGer,BestRes,ErroMed,ErroMenor,TempoMed,TempoMenor
  0, 7098,   0, 7002,12.11,10.60,0.937031,1.125000
  5, 7149,   0, 7002,12.92,10.60,0.931406,0.984375
 10, 7105,   0, 7002,12.23,10.60,0.933906,1.000000
 15, 7108,   0, 7002,12.27,10.60,0.968437,0.812500
 20, 7125,   0, 7002,12.54,10.60,0.991718,0.937500
 25, 7123,   0, 7002,12.51,10.60,1.008906,1.140625
 30, 7129,   0, 6999,12.60,10.55,1.052031,0.953125
 35, 7116,   0, 7002,12.40,10.60,1.039687,1.031250
 40, 7130,   0, 7002,12.62,10.60,1.052343,1.078125
 45, 7094,   0, 7002,12.05,10.60,1.078750,0.984375
 50, 7104,   0, 7002,12.21,10.60,1.095312,1.078125
