Mutacao,MediaRes,NumMedGer,BestRes,ErroMed,ErroMenor,TempoMed,TempoMenor
  0, 3918,   0, 3827,17.91,15.17,0.008750,0.000000
  5, 3905,   2, 3687,17.51,10.95,0.010468,0.015625
 10, 3900,   2, 3517,17.36, 5.84,0.012500,0.015625
 15, 3891,   3, 3751,17.09,12.88,0.017031,0.015625
 20, 3893,   6, 3686,17.15,10.92,0.018125,0.031250
 25, 3917,   1, 3660,17.88,10.14,0.016875,0.015625
 30, 3899,   5, 3548,17.33, 6.77,0.016718,0.000000
 35, 3903,   3, 3570,17.45, 7.43,0.017031,0.015625
 40, 3897,   4, 3442,17.27, 3.58,0.017656,0.031250
 45, 3904,   4, 3571,17.48, 7.46,0.015625,0.031250
 50, 3888,   8, 3687,17.00,10.95,0.017656,0.015625
