Mutacao,MediaRes,NumMedGer,BestRes,ErroMed,ErroMenor,TempoMed,TempoMenor
  0, 7931,   0, 7547,15.63,10.03,0.013437,0.015625
  5, 7903,   4, 7174,15.22, 4.59,0.012968,0.015625
 10, 7857,   2, 7162,14.55, 4.42,0.020156,0.031250
 15, 7858,   0, 7087,14.56, 3.32,0.020937,0.031250
 20, 7929,   1, 7160,15.60, 4.39,0.022187,0.015625
 25, 7874,   0, 7234,14.80, 5.47,0.022031,0.031250
 30, 7916,   0, 7087,15.41, 3.32,0.019687,0.015625
 35, 7889,   0, 7174,15.02, 4.59,0.019062,0.015625
 40, 7922,   0, 7174,15.50, 4.59,0.023125,0.031250
 45, 7946,   0, 7087,15.85, 3.32,0.023750,0.031250
 50, 7899,   1, 7087,15.16, 3.32,0.022812,0.031250
