Mutacao,MediaRes,NumMedGer,BestRes,ErroMed,ErroMenor,TempoMed,TempoMenor
  0, 9254,   0, 9208,13.17,12.61,0.029218,0.031250
  5, 9232,   3, 8570,12.90, 4.81,0.048437,0.046875
 10, 9212,   2, 8666,12.66, 5.98,0.051093,0.046875
 15, 9258,   0, 8570,13.22, 4.81,0.050468,0.062500
 20, 9224,   0, 8639,12.80, 5.65,0.050000,0.046875
 25, 9221,   0, 8565,12.77, 4.75,0.052656,0.046875
 30, 9219,   0, 8688,12.74, 6.25,0.054687,0.078125
 35, 9223,   0, 8639,12.79, 5.65,0.052187,0.062500
 40, 9207,   0, 8684,12.60, 6.20,0.062187,0.031250
 45, 9222,   0, 8672,12.78, 6.05,0.057343,0.062500
 50, 9211,   0, 8570,12.65, 4.81,0.052343,0.046875
