Mutacao,MediaRes,NumMedGer,BestRes,ErroMed,ErroMenor,TempoMed,TempoMenor
  0, 3790,   0, 3729,10.79, 9.00,0.036875,0.031250
  5, 3813,   0, 3700,11.46, 8.16,0.050156,0.078125
 10, 3785,   0, 3649,10.64, 6.66,0.051718,0.046875
 15, 3794,   0, 3549,10.90, 3.74,0.051718,0.046875
 20, 3796,   0, 3649,10.96, 6.66,0.049843,0.062500
 25, 3800,   0, 3724,11.08, 8.86,0.049062,0.062500
 30, 3784,   0, 3695,10.61, 8.01,0.050937,0.062500
 35, 3798,   0, 3549,11.02, 3.74,0.050781,0.046875
 40, 3787,   0, 3684,10.70, 7.69,0.051093,0.062500
 45, 3805,   0, 3729,11.22, 9.00,0.053281,0.062500
 50, 3803,   0, 3649,11.17, 6.66,0.052812,0.062500
