Mutacao,MediaRes,NumMedGer,BestRes,ErroMed,ErroMenor,TempoMed,TempoMenor
  0, 3218,   0, 3039,16.59,10.11,0.030156,0.031250
  5, 3244,   1, 3039,17.54,10.11,0.049375,0.046875
 10, 3247,   0, 3039,17.64,10.11,0.049531,0.046875
 15, 3224,   0, 3039,16.81,10.11,0.047812,0.046875
 20, 3230,   0, 3039,17.03,10.11,0.048906,0.046875
 25, 3228,   0, 3039,16.96,10.11,0.048750,0.046875
 30, 3222,   0, 3039,16.74,10.11,0.046562,0.062500
 35, 3236,   0, 3034,17.25, 9.93,0.048750,0.031250
 40, 3242,   0, 3039,17.46,10.11,0.049375,0.046875
 45, 3238,   0, 3039,17.32,10.11,0.051875,0.062500
 50, 3224,   0, 3039,16.81,10.11,0.055625,0.046875
