Mutacao,MediaRes,NumMedGer,BestRes,ErroMed,ErroMenor,TempoMed,TempoMenor
  0, 3960,   0, 3859,19.17,16.13,0.011406,0.015625
  5, 3942,   7, 3746,18.63,12.73,0.011875,0.015625
 10, 3957,   1, 3775,19.08,13.60,0.012031,0.000000
 15, 3953,   1, 3753,18.96,12.94,0.012343,0.015625
 20, 3940,   2, 3727,18.57,12.16,0.015781,0.015625
 25, 3957,   1, 3822,19.08,15.02,0.016250,0.031250
 30, 3938,   3, 3416,18.51, 2.80,0.016406,0.015625
 35, 3927,   0, 3769,18.18,13.42,0.016875,0.015625
 40, 3959,   1, 3783,19.14,13.84,0.016093,0.015625
 45, 3937,   1, 3752,18.48,12.91,0.016250,0.015625
 50, 3945,   2, 3721,18.72,11.98,0.017031,0.031250
