Mutacao,MediaRes,NumMedGer,BestRes,ErroMed,ErroMenor,TempoMed,TempoMenor
  0, 6334,   0, 6290,13.88,13.09,0.548125,0.437500
  5, 6334,   0, 6249,13.88,12.35,0.623125,0.734375
 10, 6336,   0, 6290,13.92,13.09,0.646875,0.671875
 15, 6329,   0, 6290,13.79,13.09,0.640468,0.609375
 20, 6333,   0, 6227,13.86,11.96,0.650625,0.687500
 25, 6329,   0, 6290,13.79,13.09,0.660781,0.656250
 30, 6336,   0, 6268,13.92,12.69,0.655156,0.640625
 35, 6331,   0, 6227,13.83,11.96,0.663437,0.734375
 40, 6333,   0, 6268,13.86,12.69,0.674218,0.656250
 45, 6332,   0, 6290,13.84,13.09,0.667812,0.656250
 50, 6334,   0, 6249,13.88,12.35,0.669062,0.671875
