Mutacao,MediaRes,NumMedGer,BestRes,ErroMed,ErroMenor,TempoMed,TempoMenor
  0, 8023,   0, 7718,16.44,12.02,0.013750,0.015625
  5, 7969,   2, 6989,15.66, 1.44,0.016875,0.015625
 10, 7965,   2, 7226,15.60, 4.88,0.024687,0.031250
 15, 7994,   2, 7174,16.02, 4.12,0.026250,0.031250
 20, 7984,   1, 7174,15.88, 4.12,0.026406,0.031250
 25, 7937,   1, 7234,15.20, 4.99,0.025625,0.031250
 30, 8048,   2, 7253,16.81, 5.27,0.026718,0.031250
 35, 7956,   1, 7226,15.47, 4.88,0.024687,0.015625
 40, 7982,   0, 7428,15.85, 7.81,0.025781,0.031250
 45, 7996,   0, 7572,16.05, 9.90,0.025156,0.015625
 50, 7983,   0, 7174,15.86, 4.12,0.025781,0.015625
