Mutacao,MediaRes,NumMedGer,BestRes,ErroMed,ErroMenor,TempoMed,TempoMenor
  0, 1979,   0, 1921,15.80,12.40,0.120937,0.125000
  5, 1985,   1, 1921,16.15,12.40,0.111093,0.125000
 10, 1976,   0, 1921,15.62,12.40,0.109375,0.109375
 15, 1970,   0, 1911,15.27,11.82,0.105625,0.109375
 20, 1977,   0, 1921,15.68,12.40,0.106875,0.109375
 25, 1977,   0, 1921,15.68,12.40,0.105156,0.109375
 30, 1979,   0, 1921,15.80,12.40,0.106250,0.109375
 35, 1975,   0, 1921,15.56,12.40,0.105312,0.109375
 40, 1982,   0, 1921,15.97,12.40,0.112031,0.109375
 45, 1967,   0, 1921,15.10,12.40,0.110625,0.109375
 50, 1978,   0, 1921,15.74,12.40,0.105781,0.109375
