Mutacao,MediaRes,NumMedGer,BestRes,ErroMed,ErroMenor,TempoMed,TempoMenor
50,4590,46,4412,4.03,0.0,0.024375,0.046875
15,4059,7,3748,8.3,0.0,0.010937,0.015625
30,4273,24,3936,10.41,1.71,0.020156,0.046875
40,3897,4,3442,17.27,3.58,0.017656,0.03125
50,4059,13,3547,15.18,0.65,0.023437,0.046875
40,4104,2,3846,6.71,0.0,0.01125,0.015625
20,3961,1,3716,16.23,9.04,0.015468,0.015625
35,3949,1,3528,12.64,0.63,0.034843,0.046875
45,4966,32,4683,9.89,3.63,0.027968,0.03125
50,4596,2,4467,2.89,0.0,0.013437,0.03125
