Mutacao,MediaRes,NumMedGer,BestRes,ErroMed,ErroMenor,TempoMed,TempoMenor
  0, 9699,  23, 9558, 1.48, 0.00,0.096875,0.109375
  5, 9646,  37, 9558, 0.92, 0.00,0.107031,0.093750
 10, 9632,  39, 9558, 0.77, 0.00,0.109531,0.140625
 15, 9614,  52, 9558, 0.59, 0.00,0.122187,0.156250
 20, 9620,  54, 9558, 0.65, 0.00,0.123593,0.156250
 25, 9617,  68, 9558, 0.62, 0.00,0.136875,0.125000
 30, 9611,  86, 9558, 0.55, 0.00,0.154218,0.093750
 35, 9610,  90, 9558, 0.54, 0.00,0.160000,0.140625
 40, 9607, 106, 9558, 0.51, 0.00,0.177343,0.171875
