Mutacao,MediaRes,NumMedGer,BestRes,ErroMed,ErroMenor,TempoMed,TempoMenor
0,2166,29,2137,18,3.49,2.1,0.426093
5,2156,46,2093,1,3.01,0.0,0.480937
10,2153,60,2110,1,2.87,0.81,0.525156
15,2155,79,2093,1,2.96,0.0,0.593906
20,2145,100,2093,2,2.48,0.0,0.676093
25,2143,115,2093,6,2.39,0.0,0.769843
30,2140,133,2093,4,2.25,0.0,0.90875
35,2167,119,2093,1,3.54,0.0,0.77125
40,2202,97,2098,1,5.21,0.24,0.699531
45,2238,54,2153,1,6.93,2.87,0.548437
50,2269,23,2147,1,8.41,2.58,0.445468
55,2284,11,2172,1,9.13,3.77,0.408906
60,2297,4,2199,1,9.75,5.06,0.383281
65,2304,2,2224,2,10.08,6.26,0.379218
70,2306,1,2224,1,10.18,6.26,0.389531
75,2312,1,2226,1,10.46,6.35,0.377968
80,2311,0,2226,1,10.42,6.35,0.376406
85,2316,0,2234,1,10.65,6.74,0.377812
90,2315,0,2210,1,10.61,5.59,0.389062
95,2317,0,2226,1,10.7,6.35,0.381093
100,2326,0,2260,1,11.13,7.98,0.383125
