Mutacao,MediaRes,NumMedGer,BestRes,ErroMed,ErroMenor,TempoMed,TempoMenor
0,1117,9,1090,19,5.88,3.32,0.225937
5,1110,12,1072,2,5.21,1.61,0.232343
10,1113,24,1072,4,5.5,1.61,0.256406
15,1112,29,1072,5,5.4,1.61,0.267968
20,1108,55,1072,12,5.02,1.61,0.323125
25,1106,61,1055,1,4.83,0.0,0.335
30,1107,71,1072,6,4.93,1.61,0.361875
35,1114,63,1055,1,5.59,0.0,0.345781
40,1122,38,1072,2,6.35,1.61,0.297343
45,1131,22,1084,1,7.2,2.75,0.26625
50,1138,9,1091,1,7.87,3.41,0.239218
55,1143,4,1114,1,8.34,5.59,0.229687
60,1147,2,1112,1,8.72,5.4,0.225468
65,1147,1,1113,2,8.72,5.5,0.226093
70,1153,1,1125,2,9.29,6.64,0.227656
75,1154,0,1113,1,9.38,5.5,0.225468
80,1156,0,1128,3,9.57,6.92,0.223437
85,1161,0,1128,1,10.05,6.92,0.2225
90,1159,0,1124,1,9.86,6.54,0.224062
95,1163,0,1127,1,10.24,6.82,0.223281
100,1163,0,1129,3,10.24,7.01,0.223593
