Mutacao,MediaRes,NumMedGer,BestRes,ErroMed,ErroMenor,TempoMed,TempoMenor
0,2090,6,2085,78,0.24,0.0,0.039843
5,2089,11,2085,85,0.19,0.0,0.04125
10,2086,11,2085,91,0.05,0.0,0.041718
15,2086,14,2085,93,0.05,0.0,0.042812
20,2086,20,2085,89,0.05,0.0,0.045156
25,2085,25,2085,96,0.0,0.0,0.047187
30,2087,40,2085,84,0.1,0.0,0.052812
35,2089,46,2085,77,0.19,0.0,0.054687
40,2095,44,2085,51,0.48,0.0,0.054375
45,2105,32,2085,32,0.96,0.0,0.050625
50,2127,26,2085,16,2.01,0.0,0.048281
55,2141,13,2085,14,2.69,0.0,0.043437
60,2146,7,2085,11,2.93,0.0,0.041562
65,2159,3,2085,4,3.55,0.0,0.039843
70,2159,1,2085,8,3.55,0.0,0.039062
75,2171,0,2085,1,4.12,0.0,0.039375
80,2173,0,2085,4,4.22,0.0,0.03875
85,2172,0,2085,1,4.17,0.0,0.039218
90,2175,0,2085,2,4.32,0.0,0.038281
95,2180,0,2097,1,4.56,0.58,0.041093
100,2174,0,2085,1,4.27,0.0,0.039218
