Mutacao,MediaRes,NumMedGer,BestRes,ErroMed,ErroMenor,TempoMed,TempoMenor
  0, 2000,  43, 1998, 0.65, 0.55,0.356093,0.296875
  5, 2000,  58, 1987, 0.65, 0.00,0.398281,0.453125
 10, 2000,  73, 1987, 0.65, 0.00,0.438906,0.437500
 15, 2003,  73, 1987, 0.81, 0.00,0.455625,0.468750
 20, 2007,  67, 1987, 1.01, 0.00,0.462500,0.796875
 25, 2015,  61, 1987, 1.41, 0.00,0.448593,0.890625
 30, 2023,  56, 1987, 1.81, 0.00,0.476250,0.843750
 35, 2034,  25, 1987, 2.37, 0.00,0.366406,0.843750
 40, 2044,  21, 1998, 2.87, 0.55,0.356250,0.578125
