Mutacao,MediaRes,NumMedGer,BestRes,ErroMed,ErroMenor,TempoMed,TempoMenor
0,8206,13,8199,46,0.35,0.27,0.1075
5,8206,14,8177,1,0.35,0.0,0.107968
10,8203,18,8177,5,0.32,0.0,0.111406
15,8202,30,8177,9,0.31,0.0,0.125
20,8196,45,8177,14,0.23,0.0,0.139375
25,8196,56,8177,18,0.23,0.0,0.155625
30,8198,62,8177,9,0.26,0.0,0.164531
35,8202,71,8177,9,0.31,0.0,0.1675
40,8224,66,8178,1,0.57,0.01,0.166406
45,8263,52,8177,3,1.05,0.0,0.15375
50,8361,35,8199,1,2.25,0.27,0.136562
55,8402,22,8210,2,2.75,0.4,0.123437
60,8491,11,8211,2,3.84,0.42,0.112812
65,8529,6,8222,1,4.3,0.55,0.109375
70,8538,5,8211,4,4.41,0.42,0.1075
75,8548,0,8222,1,4.54,0.55,0.102343
80,8556,0,8211,3,4.63,0.42,0.102656
85,8556,0,8211,2,4.63,0.42,0.1025
90,8578,0,8305,2,4.9,1.57,0.102812
95,8575,0,8222,1,4.87,0.55,0.1025
100,8567,0,8211,1,4.77,0.42,0.102812
