Mutacao,MediaRes,NumMedGer,BestRes,ErroMed,ErroMenor,TempoMed,TempoMenor
0,3003,17,2957,17,10.93,9.24,0.105781
5,2954,38,2709,6,9.12,0.07,0.122187
10,2910,59,2709,7,7.5,0.07,0.139062
15,2898,72,2707,1,7.06,0.0,0.152343
20,2873,81,2707,5,6.13,0.0,0.163125
25,2858,101,2707,10,5.58,0.0,0.183125
30,2843,132,2707,15,5.02,0.0,0.21
35,2877,110,2707,9,6.28,0.0,0.192343
40,2941,95,2707,5,8.64,0.0,0.175312
45,3005,65,2707,2,11.01,0.0,0.150625
50,3080,30,2801,1,13.78,3.47,0.136718
55,3122,13,2870,1,15.33,6.02,0.106093
60,3123,5,2883,1,15.37,6.5,0.099375
65,3145,2,2982,2,16.18,10.16,0.096406
70,3163,1,3027,1,16.85,11.82,0.096718
75,3167,1,3023,1,16.99,11.67,0.096406
80,3159,0,2982,1,16.7,10.16,0.113125
85,3175,0,3033,3,17.29,12.04,0.122656
90,3171,0,2982,1,17.14,10.16,0.096875
95,3181,0,3027,1,17.51,11.82,0.094843
100,3179,0,2982,1,17.44,10.16,0.096093
