Mutacao,MediaRes,NumMedGer,BestRes,ErroMed,ErroMenor,TempoMed,TempoMenor
0,1091,18,1086,69,5.0,4.52,0.233437
5,1091,22,1086,64,5.0,4.52,0.240937
10,1092,30,1083,1,5.1,4.23,0.257812
15,1091,38,1077,1,5.0,3.66,0.278281
20,1087,58,1039,1,4.62,0.0,0.3325
25,1088,72,1045,2,4.72,0.58,0.345156
30,1087,94,1039,1,4.62,0.0,0.388593
35,1094,96,1062,1,5.29,2.21,0.395625
40,1110,41,1086,2,6.83,4.52,0.288437
45,1117,30,1086,1,7.51,4.52,0.264531
50,1125,12,1089,1,8.28,4.81,0.234062
55,1129,4,1107,4,8.66,6.54,0.214531
60,1128,2,1103,1,8.57,6.16,0.216875
65,1135,1,1109,1,9.24,6.74,0.209843
70,1136,0,1113,5,9.34,7.12,0.209062
75,1139,0,1113,4,9.62,7.12,0.209062
80,1141,0,1108,1,9.82,6.64,0.209531
85,1140,0,1115,1,9.72,7.31,0.20875
90,1145,0,1113,2,10.2,7.12,0.208906
95,1144,0,1120,2,10.11,7.8,0.209531
100,1146,0,1119,1,10.3,7.7,0.208906
