Mutacao,MediaRes,NumMedGer,BestRes,ErroMed,ErroMenor,TempoMed,TempoMenor
0,7880,28,7854,90,4.1,3.75,0.192656
5,7882,33,7755,1,4.12,2.44,0.202968
10,7866,45,7755,1,3.91,2.44,0.22375
15,7846,56,7570,4,3.65,0.0,0.24875
20,7836,77,7570,8,3.51,0.0,0.294218
25,7768,118,7570,23,2.62,0.0,0.39
30,7720,154,7570,40,1.98,0.0,0.446093
35,7712,183,7570,29,1.88,0.0,0.481875
40,7802,151,7570,13,3.06,0.0,0.42625
45,7939,129,7570,2,4.87,0.0,0.386562
50,8119,91,7575,1,7.25,0.07,0.321406
55,8256,90,7633,1,9.06,0.83,0.317031
60,8407,52,7820,1,11.06,3.3,0.25625
65,8474,43,7840,1,11.94,3.57,0.237656
70,8632,22,8163,1,14.03,7.83,0.204687
75,8629,25,8086,1,13.99,6.82,0.209531
80,8722,21,8166,1,15.22,7.87,0.209062
85,8751,12,8149,1,15.6,7.65,0.187187
90,8765,10,8149,1,15.79,7.65,0.183125
95,8798,4,8210,2,16.22,8.45,0.18375
100,8823,5,8210,1,16.55,8.45,0.175156
