Mutacao,MediaRes,NumMedGer,BestRes,ErroMed,ErroMenor,TempoMed,TempoMenor
  0,  994,  43,  955, 4.08, 0.00,0.282968,0.328125
  5,  970,  83,  955, 1.57, 0.00,0.344062,0.234375
 10,  968,  92,  955, 1.36, 0.00,0.365156,0.343750
 15,  970, 104,  955, 1.57, 0.00,0.410937,0.531250
 20,  978, 100,  955, 2.41, 0.00,0.379687,0.500000
 25,  989,  91,  955, 3.56, 0.00,0.365781,0.437500
 30, 1001,  80,  955, 4.82, 0.00,0.350312,0.421875
 35, 1014,  57,  955, 6.18, 0.00,0.310156,0.671875
 40, 1029,  19,  955, 7.75, 0.00,0.239843,0.656250
