Mutacao,MediaRes,NumMedGer,BestRes,ErroMed,ErroMenor,TempoMed,TempoMenor
  0, 3083,  20, 2921, 5.55, 0.00,0.096093,0.125000
  5, 3000,  54, 2921, 2.70, 0.00,0.119218,0.187500
 10, 3008,  80, 2921, 2.98, 0.00,0.139062,0.093750
 15, 2995,  79, 2921, 2.53, 0.00,0.139843,0.140625
 20, 2995,  87, 2921, 2.53, 0.00,0.144687,0.109375
 25, 2995, 106, 2921, 2.53, 0.00,0.160312,0.125000
 30, 3018,  91, 2921, 3.32, 0.00,0.150000,0.140625
 35, 3039,  92, 2921, 4.04, 0.00,0.152031,0.156250
 40, 3093,  89, 2942, 5.89, 0.72,0.148437,0.078125
