Mutacao,MediaRes,NumMedGer,BestRes,ErroMed,ErroMenor,TempoMed,TempoMenor
0,1948,19,1920,14,8.28,6.73,0.807812
5,1946,29,1877,1,8.17,4.34,0.879843
10,1944,38,1900,1,8.06,5.61,0.939843
15,1937,50,1843,1,7.67,2.45,0.975468
20,1919,77,1799,1,6.67,0.0,1.217031
25,1924,95,1829,1,6.95,1.67,1.317812
30,1931,94,1831,1,7.34,1.78,1.346093
35,1943,104,1821,1,8.0,1.22,1.401875
40,1982,52,1901,1,10.17,5.67,1.005625
45,2009,21,1916,1,11.67,6.5,0.869843
50,2019,9,1907,1,12.23,6.0,0.754687
55,2034,4,1970,1,13.06,9.51,0.71625
60,2042,1,1990,1,13.51,10.62,0.692656
65,2043,0,1979,1,13.56,10.01,0.70125
70,2043,0,1962,1,13.56,9.06,0.697968
75,2046,0,1997,5,13.73,11.01,0.6675
80,2046,0,1986,1,13.73,10.39,0.702187
85,2053,0,1990,1,14.12,10.62,0.724375
90,2047,0,1997,4,13.79,11.01,0.701406
95,2052,0,1969,1,14.06,9.45,0.689843
100,2057,0,1996,1,14.34,10.95,0.699062
