Mutacao,MediaRes,NumMedGer,BestRes,ErroMed,ErroMenor,TempoMed,TempoMenor
0,3843,6,3834,89,0.23,0.0,0.02125
5,3837,9,3834,94,0.08,0.0,0.020781
10,3839,9,3834,94,0.13,0.0,0.021562
15,3839,16,3834,90,0.13,0.0,0.022031
20,3837,17,3834,92,0.08,0.0,0.023437
25,3836,20,3834,94,0.05,0.0,0.023125
30,3834,35,3834,97,0.0,0.0,0.027031
35,3834,44,3834,93,0.0,0.0,0.028125
40,3838,46,3834,83,0.1,0.0,0.029531
45,3843,59,3834,72,0.23,0.0,0.031406
50,3845,63,3834,62,0.29,0.0,0.033281
55,3864,67,3834,39,0.78,0.0,0.033906
60,3883,78,3834,22,1.28,0.0,0.035468
65,3910,53,3834,17,1.98,0.0,0.031406
70,3943,48,3834,6,2.84,0.0,0.030625
75,3949,43,3834,7,3.0,0.0,0.028593
80,3967,34,3834,6,3.47,0.0,0.027812
85,3977,32,3834,3,3.73,0.0,0.027031
90,4001,39,3834,2,4.36,0.0,0.029687
95,4008,34,3834,2,4.54,0.0,0.028281
100,4017,31,3856,5,4.77,0.57,0.026718
