Mutacao,MediaRes,NumMedGer,BestRes,ErroMed,ErroMenor,TempoMed,TempoMenor
0,7266,9,7264,99,0.03,0.0,0.043437
5,7275,11,7264,94,0.15,0.0,0.043437
10,7268,14,7264,97,0.06,0.0,0.044843
15,7266,15,7264,98,0.03,0.0,0.044687
20,7268,20,7264,97,0.06,0.0,0.048906
25,7264,23,7264,99,0.0,0.0,0.053125
30,7264,33,7264,100,0.0,0.0,0.053125
35,7264,43,7264,98,0.0,0.0,0.053281
40,7267,57,7264,95,0.04,0.0,0.057812
45,7273,74,7264,86,0.12,0.0,0.064843
50,7277,85,7264,77,0.18,0.0,0.068906
55,7301,84,7264,54,0.51,0.0,0.067812
60,7329,86,7264,36,0.89,0.0,0.069843
65,7365,87,7264,15,1.39,0.0,0.071406
70,7400,80,7264,9,1.87,0.0,0.068906
75,7436,88,7264,6,2.37,0.0,0.073593
80,7467,68,7264,2,2.79,0.0,0.066093
85,7506,68,7264,4,3.33,0.0,0.067031
90,7533,69,7264,2,3.7,0.0,0.068125
95,7581,53,7264,1,4.36,0.0,0.062031
100,7603,63,7301,2,4.67,0.51,0.066406
