Mutacao,MediaRes,NumMedGer,BestRes,ErroMed,ErroMenor,TempoMed,TempoMenor
0,1634,16,1618,21,1.49,0.5,0.370468
5,1637,21,1618,27,1.68,0.5,0.387187
10,1634,24,1618,30,1.49,0.5,0.395468
15,1637,30,1618,22,1.68,0.5,0.429218
20,1635,45,1610,1,1.55,0.0,0.465781
25,1630,57,1618,26,1.24,0.5,0.498906
30,1641,67,1618,11,1.93,0.5,0.533593
35,1662,58,1618,8,3.23,0.5,0.507343
40,1686,31,1626,1,4.72,0.99,0.425
45,1704,17,1626,1,5.84,0.99,0.378906
50,1709,8,1639,1,6.15,1.8,0.350781
55,1731,1,1639,1,7.52,1.8,0.331718
60,1737,1,1649,2,7.89,2.42,0.330468
65,1730,0,1652,1,7.45,2.61,0.332187
70,1737,0,1648,2,7.89,2.36,0.339062
75,1747,0,1652,1,8.51,2.61,0.329218
80,1743,0,1662,1,8.26,3.23,0.327656
85,1746,0,1649,1,8.45,2.42,0.329687
90,1752,0,1652,1,8.82,2.61,0.329531
95,1757,0,1671,1,9.13,3.79,0.344687
100,1755,0,1673,1,9.01,3.91,0.329062
